orbit_id,agent_source,n_particles,dims,charges,masses,c,energy,period,cz_index,stability_type,classification,survival_time,energy_drift,notes
reeb_circ_E-5.00,03,2,2,"+1/-1","1/1",1.0,-5.00,0.141,,elliptic,periodic,inf,1.8e-08,Closed Reeb orbit; Kepler scaling verified
reeb_circ_E-3.00,03,2,2,"+1/-1","1/1",1.0,-3.00,0.302,,elliptic,periodic,inf,1.1e-08,Closed Reeb orbit; Kepler scaling verified
reeb_circ_E-2.00,03,2,2,"+1/-1","1/1",1.0,-2.00,0.555,,elliptic,periodic,inf,4.6e-09,Closed Reeb orbit; Kepler scaling verified
reeb_circ_E-0.20,03,2,2,"+1/-1","1/1",1.0,-0.20,17.562,,elliptic,periodic,inf,2.3e-15,Closed Reeb orbit; Kepler scaling verified
reeb_circ_E-0.10,03,2,2,"+1/-1","1/1",1.0,-0.10,49.673,,elliptic,periodic,inf,1.3e-14,Closed Reeb orbit; Kepler scaling verified
census_unlike_circular,05,2,2,"+1/-1",various,1-100,various,various,,elliptic,periodic,inf,<0.01%,64 circular orbits across all mass/c combos
census_unlike_elliptic_low,05,2,2,"+1/-1",various,1-100,various,various,,elliptic,quasi-periodic,inf,<0.01%,180 low-eccentricity (e<0.3) elliptic orbits
census_unlike_elliptic_mod,05,2,2,"+1/-1",various,1-100,various,various,,elliptic,quasi-periodic,inf,<0.1%,140 moderate-eccentricity (0.3<e<0.7) orbits
census_unlike_elliptic_high,05,2,2,"+1/-1",various,1-100,various,various,,mixed,quasi-periodic,inf,<1%,420 high-eccentricity (e>0.7) orbits
census_asym_1_2,05,2,2,"+1/-2",various,1-100,various,various,,elliptic,quasi-periodic,inf,<1%,127 bound orbits with |q1*q2|=2
census_asym_0.5_1,05,2,2,"+1/-0.5",various,1-100,various,various,,elliptic,quasi-periodic,inf,<1%,101 bound orbits with |q1*q2|=0.5
breathing_square,04+05,4,2,"+1/-1/+1/-1","1/1/1/1",1.0,-0.646,11.78,14,pos_hyperbolic,periodic,inf,N/A,Only 4-body periodic orbit; |lambda|_max=228.6; Newton did NOT converge
He_q2m10_R2_api_eta0.75,09,3,2,"+2/-1/-1","10/1/1",1.0,N/A,N/A,,N/A,bound,50,0.00000%,Best 3-body orbit; heavy-nucleus helium-like; antipodal electrons
He_q2m10_R2_api_eta0.50,09,3,2,"+2/-1/-1","10/1/1",1.0,N/A,N/A,,N/A,bound,50,0.00003%,Heavy-nucleus helium-like; survives 5% perturbation
He_q2m10_R2_a2pi3_eta0.50,09,3,2,"+2/-1/-1","10/1/1",1.0,N/A,N/A,,N/A,bound,50,0.020%,Non-symmetric angle separation; bound but wider excursions
He_q2m10_R2_a2pi3_eta0.75,09,3,2,"+2/-1/-1","10/1/1",1.0,N/A,N/A,,N/A,bound,50,0.008%,Non-symmetric angle; max_r~10
He_c4_R0.5_eta0.7,09,3,2,"+2/-1/-1","10/1/1",4.0,N/A,N/A,,N/A,bound,50,0.009%,c=4 helium-like; smaller R
He_c4_R1.0_eta0.7,09,3,2,"+2/-1/-1","10/1/1",4.0,N/A,N/A,,N/A,bound,50,0.001%,c=4 helium-like
He_c4_R0.5_eta0.8,09,3,2,"+2/-1/-1","10/1/1",4.0,N/A,N/A,,N/A,bound,50,0.003%,c=4 helium-like; higher eta
He_c4_R1.0_eta0.8,09,3,2,"+2/-1/-1","10/1/1",4.0,N/A,N/A,,N/A,bound,50,0.001%,c=4 helium-like; robust to delta=0.05 perturbation
inv_He_q-2_R2_eta0.75,09,3,2,"-2/+1/+1","1/1/1",1.0,N/A,N/A,,N/A,bound,50,0.003%,Inverted helium; equal mass; less stable than heavy-nucleus version
He_q2m10_perturb_set,09,3,2,"+2/-1/-1","10/1/1",1.0,N/A,N/A,,N/A,bound,50,<0.003%,15 perturbation-robust runs (delta=0.01 to 0.1)
tri_R2_rot_eta0.75,10,4,2,"+1/+1/+1/-1","1/1/1/1",1.0,N/A,N/A,,N/A,bound,100,0.159%,3+/1- triangular trap; rotating; new family
tri_R3_rot_eta0.75,10,4,2,"+1/+1/+1/-1","1/1/1/1",1.0,N/A,N/A,,N/A,bound,200,0.094%,3+/1- triangular trap; larger R; better drift
tri_R4_rot_eta0.75,10,4,2,"+1/+1/+1/-1","1/1/1/1",1.0,N/A,N/A,,N/A,bound,200,1.3e-07%,3+/1- triangular trap; R=4; near-machine precision
4body_rhombus_chaotic,14,4,2,"+1/-1/+1/-1","1/1/1/1",1.0,-0.31,N/A,,chaotic,chaotic-bound,200,5.1e-06,Verified chaotic-bound; Lyapunov sep ~1.1e6; eventually escapes as dimers
2body_ellip_e0.3_c1,13+14,2,2,"+1/-1","1/1",1.0,-1.0,~2.0,,unstable,quasi-periodic,inf,9.4e-08,Floquet |lambda|=17.1 at c=1; precessing but bound; verified quasi-periodic
2body_ellip_e0.5_c1,13,2,2,"+1/-1","1/1",1.0,-1.0,~2.5,,unstable,quasi-periodic,inf,N/A,Floquet |lambda|=83.8 at c=1; strongly precessing
2body_ellip_e0.7_c1,13,2,2,"+1/-1","1/1",1.0,-1.0,~3.5,,unstable,quasi-periodic,inf,N/A,Floquet |lambda|=191.6 at c=1; violently unstable but energetically bound
Tbrake_candidates,13,2,2,"+1/-1","1/1",various,various,2-16,,unknown,candidate,N/A,N/A,~25 T-brake candidates found but not Floquet-analyzed or refined
